dateTime,pc0_1,pc0_3,pc0_5,pc1_0,pc2_5,pc5_0,pc10_0,pm0_1,pm0_3,pm0_5,pm1_0,pm2_5,pm5_0,pm10_0
58:52.6,16128,5050,1882,41,0,0,0,0.01475905,0.139552236,0.354908198,0.392685562,0.392685562,0.392685562,0.392685562
59:00.6,15899,4927,1800,41,0,0,0,0.01454948,0.136288747,0.342273325,0.380503684,0.380503684,0.380503684,0.380503684
59:18.5,16309,5048,1722,47,0,0,0,0.0149249,0.139650017,0.336646974,0.379789591,0.379789591,0.379789591,0.379789591
59:26.6,17660,5529,1646,55,0,0,0,0.0161613,0.152772233,0.341157198,0.391667366,0.391667366,0.391667366,0.391667366
59:34.6,18993,6007,1574,64,0,0,0,0.017380681,0.165811121,0.34593147,0.405232131,0.405232131,0.405232131,0.405232131
59:50.6,21615,6957,1440,80,0,0,0,0.019780871,0.191685393,0.3564803,0.430452824,0.430452824,0.430452824,0.430452824
00:07.7,22699,7361,525,43,0,0,0,0.02077247,0.202665016,0.262799293,0.30245173,0.30347079,0.30347079,0.30347079
00:15.7,22579,7389,714,42,0,0,0,0.02066217,0.203243166,0.28491959,0.323472977,0.324492037,0.324492037,0.324492037
00:33.5,22403,7389,963,40,0,0,0,0.02050133,0.203070089,0.313248396,0.350088716,0.351107776,0.351107776,0.351107776
00:41.6,22185,7362,1196,37,0,0,0,0.020301711,0.202217817,0.339052111,0.373695254,0.374714315,0.374714315,0.374714315
00:49.6,21878,7238,1399,34,0,0,0,0.020021331,0.198872179,0.35899353,0.390728474,0.391747534,0.391747534,0.391747534
01:05.6,21898,7284,1407,32,0,0,0,0.020039881,0.200022444,0.361068785,0.390864611,0.390864611,0.390864611,0.390864611
01:22.7,22238,7491,1757,75,1,0,0,0.020350801,0.205443844,0.406431735,0.475814998,0.481427073,0.481427073,0.481427073
01:30.7,22049,7421,1819,82,1,0,0,0.02017778,0.203544065,0.411705911,0.48764959,0.493261635,0.493261635,0.493261635
01:48.5,21861,7348,1869,88,1,0,0,0.02000602,0.201580107,0.415405154,0.496810168,0.501912713,0.501912713,0.501912713
01:56.5,21822,7259,1809,83,1,0,0,0.019969789,0.199345067,0.406291008,0.482751727,0.487218261,0.487218261,0.487218261
02:04.5,21879,7251,1764,79,1,0,0,0.02002243,0.199187413,0.400975049,0.473331511,0.477798045,0.477798045,0.477798045
02:20.6,22234,7473,1734,79,1,0,0,0.02034715,0.205006525,0.403445512,0.476642013,0.481108546,0.481108546,0.481108546
02:37.6,23459,8187,1232,86,0,0,0,0.021467799,0.223753497,0.364780724,0.443988562,0.44615677,0.44615677,0.44615677
02:45.6,23138,8031,1161,91,0,0,0,0.021173971,0.219603866,0.3524836,0.43637681,0.438545018,0.438545018,0.438545018
03:03.4,22814,7870,1092,92,0,0,0,0.0208774,0.215348557,0.340270698,0.425294936,0.426313996,0.426313996,0.426313996
03:11.5,22493,7713,1026,92,0,0,0,0.020583481,0.211160481,0.328581512,0.413605779,0.41462484,0.41462484,0.41462484
03:19.5,22180,7560,965,91,0,0,0,0.020297671,0.207090437,0.317495018,0.401582211,0.402601272,0.402601272,0.402601272
03:35.5,22569,7504,972,85,0,0,0,0.02065355,0.206075534,0.317283988,0.395069748,0.396088809,0.396088809,0.396088809
03:52.6,19750,6264,1446,51,2,0,0,0.01807338,0.17285943,0.338349104,0.385401994,0.394714504,0.405634075,0.405634075
04:00.6,19748,6343,1434,51,3,0,0,0.0180717,0.174807876,0.338932276,0.386146218,0.398266584,0.414630502,0.414630502
04:18.5,19749,6421,1423,51,3,0,0,0.018072831,0.176724255,0.339523762,0.386834711,0.401126891,0.420769811,0.420769811
04:26.5,19785,6550,1409,51,4,0,0,0.01810547,0.179945186,0.341112792,0.387809694,0.402354836,0.419832379,0.419832379
04:34.5,19696,6556,1378,48,3,0,0,0.018023999,0.180016398,0.337714076,0.38169679,0.394200176,0.407285154,0.407285154
04:50.6,19512,6559,1523,42,2,0,0,0.01785622,0.179931521,0.354146302,0.393345743,0.403424352,0.412147671,0.412147671
05:07.6,15962,5053,2290,21,4,0,0,0.01460761,0.139466226,0.401420653,0.421488881,0.437183201,0.437183201,0.437183201
05:15.6,15881,5129,2216,21,4,0,0,0.01453367,0.141270891,0.394799083,0.414059311,0.428604454,0.428604454,0.428604454
